ID_Voucher,Label_ID_culture,Label_ID_Voucher,IDf_Personnel,Date,Location,Notes
C236F314-6399-A13F-2EA2-3E46FF599086,ZUSF00641,VUSF00001,EmmaG,2017-06-16,Lab BSC,
24349EB4-8995-3229-1724-F1FF0B1605AF,ZUSF00641,VUSF00002,EmmaG,2017-06-16,Lab BSC,
6AD66410-0827-6ABD-2DFE-754E2FC35D35,ZUSF00296,VUSF00003,EmmaG,2017-06-16,Lab BSC,
F8D7C679-003D-5157-34F3-D36F8D968BA7,ZUSF00296,VUSF00004,EmmaG,2017-06-16,Lab BSC,
7D733CA0-6F00-5E1F-818A-B5DD7FB22A05,ZUSF00609,VUSF00005,EmmaG,2017-06-16,Lab BSC,
4585CABA-90E7-709C-18CE-C981CC2BA288,ZUSF00609,VUSF00006,EmmaG,2017-06-16,Lab BSC,
F8ADC65D-340B-0D82-8AF9-EA25994C15D6,ZUSF00438,VUSF00007,EmmaG,2017-06-16,Lab BSC,
FC414496-37EB-0FE9-5451-365A255F17D4,ZUSF00438,VUSF00008,EmmaG,2017-06-16,Lab BSC,
D40FEE23-0EBE-1DFE-631B-05827831921F,ZUSF00648,VUSF00009,EmmaG,2017-06-16,Lab BSC,
7F573226-1304-5409-8BAF-59F192398E17,ZUSF00648,VUSF00010,EmmaG,2017-06-16,Lab BSC,
505F1A62-4C3C-0E3B-57CD-3B77CE1A39BF,ZUSF00649,VUSF00011,EmmaG,2017-06-16,Lab BSC,
A42134C5-81A2-A389-6B39-907D748A36D3,ZUSF00649,VUSF00012,EmmaG,2017-06-16,Lab BSC,
3662542F-217D-9FCD-4572-AE27BD2518DB,ZUSF00549,VUSF00013,EmmaG,2017-06-27,Lab BSC,
5B0B218C-5811-34E5-5D90-5040B827929A,ZUSF00549,VUSF00014,EmmaG,2017-06-27,Lab BSC,
E88ABC42-7D8A-23C4-8E54-D0F1DDC55CC1,ZUSF00310,VUSF00015,EmmaG,2017-06-27,Lab BSC,
15E9E0F3-A0DF-782C-0157-E4143FE04DF7,ZUSF00310,VUSF00016,EmmaG,2017-06-27,Lab BSC,
732C5630-A475-5873-6DEF-5B289680724C,ZUSF00474,VUSF00017,EmmaG,2017-06-27,Lab BSC,
A8F19CCB-6679-4CA4-4326-5B34A7DD4A9E,ZUSF00474,VUSF00018,EmmaG,2017-06-27,Lab BSC,
06351BA4-6552-08BD-3C3A-3E0AC3C522D9,ZUSF00308,VUSF00019,EmmaG,2017-06-27,Lab BSC,
7DD94246-67D7-2254-1B37-1A2352E84586,ZUSF00308,VUSF00020,EmmaG,2017-06-27,Lab BSC,
7A906707-2239-01B7-9CB7-A06FAF6A5941,ZUSF00484,VUSF00021,EmmaG,2017-06-27,Lab BSC,
83F94F44-80A6-44A9-38FD-E3A8CAF26A85,ZUSF00484,VUSF00022,EmmaG,2017-06-27,Lab BSC,
B4A4AA3C-40CE-2D03-15AA-69D3572C2F59,ZUSF00495,VUSF00023,EmmaG,2017-06-27,Lab BSC,
5373F25A-017B-1101-26C6-1446705F18E7,ZUSF00495,VUSF00024,EmmaG,2017-06-27,Lab BSC,
DC997518-A193-8D44-3567-65B105BD132E,ZUSF00187,VUSF00025,EmmaG,2017-06-27,Lab BSC,
7CB47B17-0CD2-25DE-4A8D-25A579964441,ZUSF00187,VUSF00026,EmmaG,2017-06-27,Lab BSC,
8453CE05-9086-9872-2A56-7F5A393F1251,ZUSF00264,VUSF00027,EmmaG,2017-06-27,Lab BSC,
F8D418BF-A56B-451E-9868-62D1429A577E,ZUSF00264,VUSF00028,EmmaG,2017-06-27,Lab BSC,
EA56D96C-4258-07DF-22FA-05B7DAED67E8,ZUSF00341,VUSF00029,EmmaG,2017-06-27,Lab BSC,
22B1E9CB-23CA-8C47-7BC8-014AEBE12F3F,ZUSF00341,VUSF00030,EmmaG,2017-06-27,Lab BSC,
97F6D00E-789F-052F-9525-4DA3C7361FB1,ZUSF00199,VUSF00031,EmmaG,2017-06-27,Lab BSC,
8BCC5C63-A0FE-5A91-4823-96444AFF8D93,ZUSF00199,VUSF00032,EmmaG,2017-06-27,Lab BSC,
A08C48BA-70DB-6131-A52D-68C8A3E81A9A,ZUSF00232,VUSF00033,EmmaG,2017-06-27,Lab BSC,
6329DC8D-34A0-2BC0-71BB-1A9028A74EDB,ZUSF00232,VUSF00034,EmmaG,2017-06-27,Lab BSC,
C695CCFA-8EEB-00FE-6587-FE36095E8238,ZUSF00215,VUSF00035,EmmaG,2017-06-27,Lab BSC,
FFDED461-2419-5061-10D9-6315D20793DC,ZUSF00215,VUSF00036,EmmaG,2017-06-27,Lab BSC,
C2F5C2A5-5D31-7A5A-83DF-A116F8850A01,ZUSF00486,VUSF00037,EmmaG,2017-06-27,Lab BSC,
73FEFB78-9D85-0166-489F-1ED5F66E76FF,ZUSF00486,VUSF00038,EmmaG,2017-06-27,Lab BSC,
D9BAA340-3702-0D97-A7B4-4938A3AA3334,ZUSF00355,VUSF00039,EmmaG,2017-06-27,Lab BSC,
D807F626-3C1F-0842-1DAC-0ECED7EE19AD,ZUSF00355,VUSF00040,EmmaG,2017-06-27,Lab BSC,
CF1F82A5-0CCF-86C6-07E5-D04F8445A756,ZUSF00462,VUSF00041,EmmaG,2017-06-27,Lab BSC,
421345F6-53E9-1EFC-4100-474DCA4432A6,ZUSF00462,VUSF00042,EmmaG,2017-06-27,Lab BSC,
2EB2E67A-277C-0758-9108-8E28C48AA130,ZUSF00548,VUSF00043,EmmaG,2017-06-27,Lab BSC,
175D86D9-92DD-3624-1C40-DD7C03436CB8,ZUSF00548,VUSF00044,EmmaG,2017-06-27,Lab BSC,
