"Label_ID","Culture_Label_ID","Label_ID_Voucher","Tree_ID"
"EUSF01406","ZUSF01924","VUSF02811","S2T1"
"EUSF01406","ZUSF01924","VUSF02812","S2T1"
"EUSF01407","ZUSF01925","VUSF02813","S2T1"
"EUSF01407","ZUSF01925","VUSF02814","S2T1"
"EUSF01410","ZUSF01928","VUSF02819","S2T1"
"EUSF01410","ZUSF01928","VUSF02820","S2T1"
"EUSF01411","ZUSF01929","VUSF02821","S2T2"
"EUSF01411","ZUSF01929","VUSF02822","S2T2"
"EUSF01412","ZUSF01931","VUSF02823","S2T2"
"EUSF01412","ZUSF01931","VUSF02824","S2T2"
"EUSF01413","ZUSF01936","VUSF02825","S2T2"
"EUSF01413","ZUSF01936","VUSF02826","S2T2"
"EUSF01414","ZUSF01942","VUSF02827","S2T3"
"EUSF01414","ZUSF01942","VUSF02828","S2T3"
"EUSF01415","ZUSF01943","VUSF02829","S2T3"
"EUSF01415","ZUSF01943","VUSF02830","S2T3"
"EUSF01417","ZUSF01945","VUSF02833","S2T3"
"EUSF01417","ZUSF01945","VUSF02834","S2T3"
"EUSF01418","ZUSF01946","VUSF02835","S2T3"
"EUSF01418","ZUSF01946","VUSF02836","S2T3"
"EUSF01422","ZUSF01955","VUSF02843","S2T4"
"EUSF01422","ZUSF01955","VUSF02844","S2T4"
"EUSF01423","ZUSF01963","VUSF02845","S2T4"
"EUSF01423","ZUSF01963","VUSF02846","S2T4"
"EUSF01424","ZUSF01964","VUSF02847","S2T4"
"EUSF01424","ZUSF01964","VUSF02848","S2T4"
"EUSF01426","ZUSF01969","VUSF02851","S2T5"
"EUSF01426","ZUSF01969","VUSF02852","S2T5"
"EUSF01427","ZUSF01970","VUSF02853","S2T5"
"EUSF01427","ZUSF01970","VUSF02854","S2T5"
"EUSF01428","ZUSF01715","VUSF02855","S6T4"
"EUSF01428","ZUSF01715","VUSF02856","S6T4"
"EUSF01430","ZUSF01973","VUSF02859","S2T5"
"EUSF01430","ZUSF01973","VUSF02860","S2T5"
"EUSF01431","ZUSF01975","VUSF02861","S2T5"
"EUSF01431","ZUSF01975","VUSF02862","S2T5"
"EUSF01435","ZUSF01987","VUSF02869","S3T1"
"EUSF01435","ZUSF01987","VUSF02870","S3T1"
"EUSF01436","ZUSF01988","VUSF02871","S3T1"
"EUSF01436","ZUSF01988","VUSF02872","S3T1"
"EUSF01438","ZUSF01991","VUSF02875","S3T1"
"EUSF01438","ZUSF01991","VUSF02876","S3T1"
"EUSF01439","ZUSF01992","VUSF02877","S3T1"
"EUSF01439","ZUSF01992","VUSF02878","S3T1"
"EUSF01441","ZUSF01994","VUSF02881","S3T1"
"EUSF01441","ZUSF01994","VUSF02882","S3T1"
"EUSF01442","ZUSF01996","VUSF02883","S3T2"
"EUSF01442","ZUSF01996","VUSF02884","S3T2"
"EUSF01443","ZUSF01997","VUSF02885","S3T2"
"EUSF01443","ZUSF01997","VUSF02886","S3T2"
"EUSF01444","ZUSF01998","VUSF02887","S3T2"
"EUSF01444","ZUSF01998","VUSF02888","S3T2"
"EUSF01445","ZUSF01999","VUSF02889","S3T2"
"EUSF01445","ZUSF01999","VUSF02890","S3T2"
"EUSF01446","ZUSF02001","VUSF02891","S3T3"
"EUSF01446","ZUSF02001","VUSF02892","S3T3"
"EUSF01447","ZUSF02003","VUSF02893","S3T3"
"EUSF01447","ZUSF02003","VUSF02894","S3T3"
"EUSF01453","ZUSF02015","VUSF02905","S3T5"
"EUSF01453","ZUSF02015","VUSF02906","S3T5"
"EUSF01454","ZUSF02016","VUSF02907","S3T5"
"EUSF01454","ZUSF02016","VUSF02908","S3T5"
"EUSF01455","ZUSF02017","VUSF02909","S3T5"
"EUSF01455","ZUSF02017","VUSF02910","S3T5"
"EUSF01457","ZUSF02020","VUSF02913","S3T5"
"EUSF01457","ZUSF02020","VUSF02914","S3T5"
"EUSF01458","ZUSF02021","VUSF02915","S3T5"
"EUSF01458","ZUSF02021","VUSF02916","S3T5"
"EUSF01460","ZUSF02023","VUSF02919","S3T5"
"EUSF01460","ZUSF02023","VUSF02920","S3T5"
"EUSF01461","ZUSF02025","VUSF02921","S3T5"
"EUSF01461","ZUSF02025","VUSF02922","S3T5"
"EUSF01463","ZUSF02029","VUSF02925","S3T5"
"EUSF01463","ZUSF02029","VUSF02926","S3T5"
"EUSF01465","ZUSF02031","VUSF02929","S3T5"
"EUSF01465","ZUSF02031","VUSF02930","S3T5"
"EUSF01467","ZUSF02035","VUSF02933","S4T1"
"EUSF01467","ZUSF02035","VUSF02934","S4T1"
"EUSF01519","ZUSF02044","VUSF03037","S4T3"
"EUSF01519","ZUSF02044","VUSF03038","S4T3"
"EUSF01610","ZUSF02098","VUSF03219","S5T3"
"EUSF01610","ZUSF02098","VUSF03220","S5T3"
"EUSF01612","ZUSF02105","VUSF03223","S5T3"
"EUSF01612","ZUSF02105","VUSF03224","S5T3"
"EUSF01630","ZUSF02127","VUSF03259","S5T5"
"EUSF01630","ZUSF02127","VUSF03260","S5T5"
"EUSF01693","ZUSF02165","VUSF03385","S6T3"
"EUSF01693","ZUSF02165","VUSF03386","S6T3"
"EUSF01709","ZUSF02183","VUSF03417","S3T5"
"EUSF01709","ZUSF02183","VUSF03418","S3T5"
"EUSF01710","ZUSF02184","VUSF03419","S3T5"
"EUSF01710","ZUSF02184","VUSF03420","S3T5"
