Date,culture_id,motu_id,full_culture_ID
2017-06-09,208,MOTU015,ZUSF00208
2017-06-09,162,MOTU016,ZUSF00162
2017-06-09,562,MOTU016,ZUSF00562
2017-06-09,390,MOTU016,ZUSF00390
2017-06-09,373,MOTU016,ZUSF00373
2017-06-09,309,MOTU016,ZUSF00309
2017-06-09,409,MOTU016,ZUSF00409
2017-06-09,453,MOTU016,ZUSF00453
2017-06-09,604,MOTU016,ZUSF00604
2017-06-09,321,MOTU016,ZUSF00321
2017-06-09,311,MOTU016,ZUSF00311
2017-06-09,529,MOTU016,ZUSF00529
2017-06-09,572,MOTU016,ZUSF00572
2017-06-09,644,MOTU016,ZUSF00644
2017-06-09,385,MOTU016,ZUSF00385
2017-06-09,530,MOTU016,ZUSF00530
2017-06-09,605,MOTU016,ZUSF00605
2017-06-09,306,MOTU016,ZUSF00306
2017-06-09,300,MOTU016,ZUSF00300
2017-06-09,176,MOTU016,ZUSF00176
2017-06-09,351,MOTU016,ZUSF00351
2017-06-09,415,MOTU016,ZUSF00415
2017-06-09,583,MOTU016,ZUSF00583
2017-06-09,455,MOTU016,ZUSF00455
2017-06-09,648,MOTU016,ZUSF00648
2017-06-09,280,MOTU017,ZUSF00280
2017-06-09,256,MOTU017,ZUSF00256
2017-06-09,359,MOTU017,ZUSF00359
2017-06-09,261,MOTU017,ZUSF00261
2017-06-09,372,MOTU017,ZUSF00372
2017-06-09,253,MOTU017,ZUSF00253
2017-06-09,215,MOTU017,ZUSF00215
2017-06-09,232,MOTU017,ZUSF00232
2017-06-09,199,MOTU017,ZUSF00199
2017-06-09,341,MOTU017,ZUSF00341
2017-06-09,264,MOTU017,ZUSF00264
2017-06-09,187,MOTU017,ZUSF00187
2017-06-09,287,MOTU017,ZUSF00287
2017-06-09,368,MOTU017,ZUSF00368
2017-06-09,254,MOTU017,ZUSF00254
2017-06-09,277,MOTU017,ZUSF00277
2017-06-09,510,MOTU017,ZUSF00510
2017-06-09,170,MOTU017,ZUSF00170
2017-06-09,557,MOTU017,ZUSF00557
2017-06-09,244,MOTU017,ZUSF00244
2017-06-09,268,MOTU017,ZUSF00268
2017-06-09,186,MOTU017,ZUSF00186
2017-06-09,267,MOTU017,ZUSF00267
2017-06-09,193,MOTU017,ZUSF00193
2017-06-09,258,MOTU017,ZUSF00258
2017-06-09,260,MOTU017,ZUSF00260
2017-06-09,273,MOTU017,ZUSF00273
2017-06-09,302,MOTU017,ZUSF00302
2017-06-09,178,MOTU017,ZUSF00178
2017-06-09,206,MOTU017,ZUSF00206
2017-06-09,201,MOTU017,ZUSF00201
2017-06-09,213,MOTU017,ZUSF00213
2017-06-09,241,MOTU017,ZUSF00241
2017-06-09,174,MOTU017,ZUSF00174
2017-06-09,230,MOTU017,ZUSF00230
2017-06-09,249,MOTU017,ZUSF00249
2017-06-09,195,MOTU017,ZUSF00195
2017-06-09,271,MOTU017,ZUSF00271
2017-06-09,294,MOTU017,ZUSF00294
2017-06-09,275,MOTU017,ZUSF00275
2017-06-09,304,MOTU017,ZUSF00304
2017-06-09,272,MOTU017,ZUSF00272
2017-06-09,172,MOTU017,ZUSF00172
2017-06-09,160,MOTU017,ZUSF00160
2017-06-09,617,MOTU017,ZUSF00617
