ID_Culture_event,IDf_Plant_experimental_treatment,IDf_Culture,IDf_Personnel,Date,Time,Label_ID,Status,Morphology,Culture_diameter_cm,Image_path,Data_path,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,Emma,2017-02-10,17:16,FV0417,mixed,,,,,bacterial contamination?,,,,
,,,Emma,2017-02-10,17:16,FV0399,ok,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0378,bacterial,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0376,mixed,,,,,mostly bacterial,,,,
,,,Emma,2017-02-10,17:16,FV0229,Autoclaved,,,,,dried out,,,,
,,,Emma,2017-02-10,17:16,FV0365,Autoclaved,,,,,dried out,,,,
,,,Emma,2017-02-10,17:16,FV0364,mixed,,,,,bacterial contamination?,,,,
,,,Emma,2017-02-10,17:16,FV0363,mixed,,,,,bacterial contamination?,,,,
,,,Emma,2017-02-10,17:16,FV0360,mixed,,,,,bacterial contamination?,,,,
,,,Emma,2017-02-10,17:16,FV0351,ok,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0350,ok,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0349,ok,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0347,ok,,,,,,,,,
,,,Emma,2017-02-10,17:16,FV0342,mixed,,,,,bacterial conotamination?,,,,
,,,Emma,2017-02-10,17:52,FV0340,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-10,17:52,FV0242,ok,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0240,bacterial,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0238,mixed,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0231,mixed,,,,,bacterial contamination?,,,,
,,,Emma,2017-02-10,17:52,FV0228,ok,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0225,ok,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0220,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-10,17:52,FV0210,mixed,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0206,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-10,17:52,FV0194,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-10,17:52,FV0187,ok,,,,,,,,,
,,,Emma,2017-02-10,17:52,FV0186,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-10,18:02,FV0175,bacterial,,,,,,,,,
,,,Emma,2017-02-10,18:02,FV0174,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0123,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0122,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0121,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0119,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0116,bacterial,,,,,unsure,,,,
,,,Emma,2017-02-16,11:24,FV0115,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0113,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0112,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0119,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0108,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0105,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0104,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0102,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0099,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV098,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0095,Autoclaved,,,,,dried out,,,,
,,,Emma,2017-02-16,11:24,FV0094,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0093,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0091,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0090,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0173,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0172,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0171,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0170,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0168,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0287,ok,,,,,brown spots on side?,,,,
,,,Emma,2017-02-16,11:24,FV0273,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0260,mixed,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0262,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0167,Autoclaved,,,,,dried out,,,,
,,,Emma,2017-02-16,11:24,FV0165,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-16,11:24,FV0145,mixed,,,,,appears to be recent bacterial and fungal growth,,,,
,,,Emma,2017-02-16,11:24,FV0144,ok,,,,,,,,,
,,,Emma,2017-02-16,11:24,FV0132,Autoclaved,,,,,contaminated,,,,
,,,Emma,2017-02-16,11:50,FV077,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0076,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0073,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0072,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0069,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0065,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0064,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0062,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0060,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0058,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0057,mixed,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0053,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0052,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0051,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0045,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0038,ok,,,,,orange spot?,,,,
,,,Emma,2017-02-16,11:50,FV0036,bacterial,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0035,mixed,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0032,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0031,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0089,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0088,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0087,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0086,ok,,,,,,,,,
,,,Emma,2017-02-16,11:50,FV0084,ok,,,,,,,,,
,,,Emma,2017-02-16,12:04,FV0027,ok,,,,,,,,,
,,,Emma,2017-02-16,12:04,FV0026,ok,,,,,,,,,
,,,Emma,2017-02-16,12:04,FV0018,bacterial,,,,,maybe cloudy medium?,,,,
,,,Emma,2017-02-16,12:04,FV0017,ok,,,,,,,,,
,,,Emma,2017-02-16,12:04,FV0007,bacterial,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00001,bacterial,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00002,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00003,bacterial,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00004,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00005,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00006,ok,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00007,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00008,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00009,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:40,ZUSF00010,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00011,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00012,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00013,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00014,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00015,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00016,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00017,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00018,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:45,ZUSF00019,contaminated ?,,,,,"***slice of original medium is stuck to lid, appeard to be bacteria from sides",,,,
,,,Emma,2017-03-09,11:45,ZUSF00020,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00021,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00022,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00023,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00024,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00025,bacterial,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00026,bacterial,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00027,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00028,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00029,ok,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00030,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00031,ok ,,,,,"growth aroung egdes, appeared to be fungal",,,,
,,,Emma,2017-03-09,11:50,ZUSF00032,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00033,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00034,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00035,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00036,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00037,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00038,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00039,no growth,,,,,,,,,
,,,Emma,2017-03-09,11:50,ZUSF00040,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00041,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00042,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00043,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00044,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00045,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00046,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00047,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00048,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00049,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00050,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00051,ok,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00052,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00053,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00054,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00055,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00056,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00057,no growth,,,,,,,,,
,,,Emma,2017-03-09,12:00,ZUSF00058,no growth,,,,,,,,,
