strain,reference mean,reference standard dev.,user selected cutoff,score (minimum distance to any reference)
EUSF00532,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00533,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00530,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00531,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00536,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00537,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00534,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00535,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF01940,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006419
EUSF00538,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00984,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019377
EUSF00872,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00871,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00870,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00877,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00876,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00875,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00874,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019441
EUSF00879,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00878,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00931,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00822,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00988,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01149,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00728,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01203,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01202,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.033098
EUSF01201,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF00539,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01207,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019478
EUSF01206,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019319
EUSF01205,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019377
EUSF01204,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01209,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01208,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01136,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00626,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032623
EUSF00627,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032886
EUSF00624,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.01965
EUSF00625,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF00622,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.01965
EUSF00623,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF00620,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.033029
EUSF00588,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00587,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00586,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00585,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00584,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032886
EUSF00583,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF00582,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00628,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006495
EUSF00580,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006373
EUSF01873,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01130,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00700,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01133,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.025935
EUSF01132,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01720,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01721,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006459
EUSF01522,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01134,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01058,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF01059,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01056,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF01057,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01054,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01055,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.025935
EUSF01052,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01053,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006373
EUSF01050,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01051,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
EUSF01117,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01116,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01115,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019377
EUSF00759,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF01298,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01112,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01111,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01110,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01294,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019451
EUSF01295,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019687
EUSF01296,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00751,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019441
EUSF00756,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00754,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00755,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF01079,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF00950,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00898,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00952,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF00953,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00954,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01596,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006377
EUSF00956,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF00891,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012826
EUSF01611,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019319
EUSF01599,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006377
EUSF00895,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.013067
EUSF00894,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019377
EUSF01616,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019319
EUSF00896,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.019425
EUSF01378,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.006386
EUSF01371,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01370,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01376,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01374,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032696
EUSF01470,0.06993405025125628,0.13198368641374245,1.3897709143886807,1e-06
EUSF01471,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.032886
EUSF01472,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.01964
EUSF00520,0.06993405025125628,0.13198368641374245,1.3897709143886807,0.012805
