Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references,strain_name,Phylum,Order,Genusspecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
EUSF00513,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU449,,935_Diaporthe_eres,Ascomycota,Diaporthales, Diaporthe eres ,935, CBS 109767, DQ471015, AF408350, --, DQ470919, DQ479931, DQ491514,
EUSF00514,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU921,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00515,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU486,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00517,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU606,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00518,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU634,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00520,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU204,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00521,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU799,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00522,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU279,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00523,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU411,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00524,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU821,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00525,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU659,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00526,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU718,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00527,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU920,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00528,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU248,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00529,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU919,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00530,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU918,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00531,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU917,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00532,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU701,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00533,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU916,"OTU918,OTU883,OTU917,OTU882,OTU881,OTU877,OTU897,OTU915,OTU878,OTU873,OTU886,OTU884,OTU889,OTU914,OTU901,OTU900,OTU899,OTU906,OTU907,OTU880,OTU890,OTU879,OTU885,OTU903,OTU902,OTU912,OTU921,OTU913,OTU904,OTU920,OTU919,OTU876,OTU910,OTU909,OTU905,OTU887,OTU894,OTU895,OTU896,OTU893,OTU911,OTU908,OTU891,OTU957,OTU940,OTU949,OTU956,OTU946,OTU953,OTU952,OTU951,OTU954,OTU944,OTU950,OTU945,OTU948,OTU955,OTU942,OTU978,OTU977,OTU979,OTU982,OTU981,OTU993,OTU990,OTU992,OTU989,OTU991,OTU973,OTU970,OTU969,OTU972,49_Lachnum_virgineum,59_Botrytis_cinerea,166_Cudoniella_clavus,279_Monilinia_fructicola,OTU962,OTU961,OTU967,OTU968,274_Dothidea_sambuci,921_Dothidea_insculpta,OTU862,OTU820,OTU875,OTU937,OTU997,OTU998,OTU988,OTU975,OTU931,OTU819,OTU825,OTU865,OTU867,OTU929,OTU985,OTU983,687_Hypocenomyce_scalaris,1007_Acarospora_laqueata,1004_Pleopsidium_chlorophanum,76_Mollisia_cinerea,952_Gnomonia_gnomon,941_Dermea_acerina,398_Stictis_radiata,3_Cladonia_caroliniana",49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00535,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU957,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00536,Ascomycota,Ascomycota,Pezizales,Pezizales,62_Scutellinia_scutellata,OTU203,,62_Scutellinia_scutellata,Ascomycota,Pezizales, Scutellinia scutellata ,62, OSC 100015, DQ247814, DQ247806, --, DQ247796, DQ471047, DQ491492,
EUSF00538,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU796,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00539,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU795,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00540,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU410,"OTU391,OTU390,OTU568,OTU567,OTU380,OTU370,OTU440,OTU438,OTU491,OTU496,OTU558,OTU552,OTU652,OTU379,OTU645,OTU874,OTU676,OTU686,OTU644,OTU633,OTU533,OTU494,OTU428,OTU373,OTU480,OTU402,OTU335,OTU157,OTU343,OTU426,OTU539,OTU352,OTU374,OTU485,OTU510,OTU403,OTU572,OTU371,OTU239,OTU599,OTU641",940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00541,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU568,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00542,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU485,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00544,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU633,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00545,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU426,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00546,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU60,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF00547,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU632,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00549,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU792,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00551,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU539,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00552,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU109,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00553,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU1004,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00554,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU790,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00555,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU592,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00556,Ascomycota,Ascomycota,Pezizales,Pezizales,949_Pyronema_domesticum,OTU50,,949_Pyronema_domesticum,Ascomycota,Pezizales, Pyronema domesticum ,949, OSC 100503, DQ247813, DQ247805, DQ471166, DQ247795, DQ471093, DQ491517,
EUSF00558,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU622,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00559,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU484,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00560,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU649,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00561,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU956,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00562,Ascomycota,Ascomycota,Pezizales,Pezizales,62_Scutellinia_scutellata,OTU100,"OTU120,OTU116,OTU203",62_Scutellinia_scutellata,Ascomycota,Pezizales, Scutellinia scutellata ,62, OSC 100015, DQ247814, DQ247806, --, DQ247796, DQ471047, DQ491492,
EUSF00563,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU955,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00564,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU538,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00565,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU537,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00566,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU510,,940_Pleospora_herbarum,Ascomycota,Pleosporales, Pleospora herbarum ,940, CBS 191.86, DQ247812, DQ247804, DQ471163, DQ247794, DQ471090, DQ491516,
EUSF00567,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU509,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00569,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU658,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00571,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU915,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00573,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU483,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00574,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU72,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF00575,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU591,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00576,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU83,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF00577,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU590,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00578,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU621,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00579,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU620,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00580,Ascomycota,Ascomycota,Pezizales,Pezizales,949_Pyronema_domesticum,OTU46,OTU50,949_Pyronema_domesticum,Ascomycota,Pezizales, Pyronema domesticum ,949, OSC 100503, DQ247813, DQ247805, DQ471166, DQ247795, DQ471093, DQ491517,
EUSF00581,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU648,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00582,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU647,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00583,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU605,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00584,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU86,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF00585,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU631,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00586,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU604,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00587,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU564,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00588,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU646,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00589,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU55,,71_Peziza_proteana_f_sparassoides,Ascomycota,Pezizales, Peziza proteana f. sparassoides ,71, OSC 100024, AY544703, AY544659, DQ518184, --, --, DQ491497,
EUSF00590,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU589,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00592,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU603,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00593,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU630,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00594,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU588,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00595,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU619,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00596,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU602,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00597,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU448,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF00598,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU28,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00599,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU914,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00600,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU346,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00601,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU34,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00602,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU37,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00603,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU202,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00604,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU235,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00605,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU563,"OTU434,65_Aleuria_aurantia",148_Cheilymenia_stercorea,Ascomycota,Pezizales, Cheilymenia stercorea ,148, OSC 100034, AY544705, AY544661, DQ471123, AY544733, DQ471052, DQ491500,
EUSF00606,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU278,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF00607,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU277,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00608,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU618,"OTU662,OTU714",1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
EUSF00610,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU549,,1081_Magnaporthe_grisea,Ascomycota,Sordariomycetes incertae sedis, Magnaporthe grisea ,1081, GenBank, AB026819, AB026819, XM_362207 , XM_362269 , AY849694, AB026819,
EUSF00611,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU345,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00612,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU743,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF00613,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU987,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF00615,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU308,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00616,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU201,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF00617,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU200,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF00618,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU199,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
