Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references,strain_name,Phylum,Order,Genusspecies,AFTOL-ID,Strain_voucher,x18S,x28S,RPB1,RPB2,EF1A,nucITS,PreviousName
EUSF01152,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU240,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01153,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU768,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01154,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU834,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01155,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU767,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01157,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU291,,51_Xylaria_hypoxylon,Ascomycota,Xylariales, Xylaria hypoxylon ,51, OSC 100004, AY544692, AY544648, DQ471114, DQ470878, DQ471042, DQ491487,
EUSF01160,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU393,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01161,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU392,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01163,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU856,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01164,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU656,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01166,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU943,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01167,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU942,,49_Lachnum_virgineum,Ascomycota,Helotiales, Lachnum virgineum ,49, OSC 100002, AY544688, AY544646, --, DQ470877, DQ497602, DQ491485,
EUSF01168,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU655,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01169,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU616,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01170,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU499,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01171,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU220,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01172,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU468,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01173,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU467,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01176,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU466,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01177,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU498,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01178,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU586,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01179,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU597,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01180,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU219,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01181,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU528,,1007_Acarospora_laqueata,Ascomycota,Acarosporales,Acarospora laqueata ,1007, VR 6-VII-98/14 , AY640984, AY640943, DQ782860, AY641024, --, DQ842014,
EUSF01183,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU734,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01184,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU733,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01185,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU732,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01186,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU760,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01187,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU731,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01188,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU585,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01189,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU527,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01190,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU584,"OTU581,OTU580,OTU585,OTU590,OTU586,OTU583,OTU465,OTU463,OTU450,OTU466,OTU467,OTU468,OTU464,OTU693,OTU689,OTU690,OTU691,OTU694,OTU688,OTU667,OTU674,OTU672,OTU671,OTU673,OTU682,OTU681,OTU683,OTU605,OTU597,OTU386,OTU389,OTU615,OTU616,OTU655,OTU656,OTU943,OTU608,OTU498,OTU499,OTU527,OTU582,1080_Aspergillus_nidulans,1079_Aspergillus_fumigatus",1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01191,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU583,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01192,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU465,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01194,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU582,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01195,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU464,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01196,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU730,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01197,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU218,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01198,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU729,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01199,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU728,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
EUSF01200,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU581,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01201,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU463,,1079_Aspergillus_fumigatus,Ascomycota,Eurotiales, Aspergillus fumigatus ,1079, GenBank, AB008401, AY660917, XM_747744 , XM_741647 , XM_745295 , AY373851,
EUSF01202,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU43,,63_Xylaria_acuta,Ascomycota,Xylariales, Xylaria acuta ,63, ATCC 56487, AY544719, AY544676, DQ471118, DQ247797, DQ471048, DQ491493,
EUSF01203,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU727,,59_Botrytis_cinerea,Ascomycota,Helotiales, Botrytis_cinerea,59, OSC 100012, AY544695, AY544651, DQ471116, DQ247786, DQ471045, DQ491491,Botryotinia fuckeliana
