EUSF000001	S3T4
EUSF000002	S1T2
EUSF000003	S3T4
EUSF000004	S3T1
EUSF000005	S3T4
EUSF000006	S3T4
EUSF000007	S3T2
EUSF000008	S1T3
EUSF000009	S3T1
EUSF000010	S1T3
EUSF000011	S3T1
EUSF000012	S3T2
EUSF000013	S1T1
EUSF000014	S1T2
EUSF000015	S1T3
EUSF000016	S1T1
EUSF000017	S1T2
EUSF000018	S1T1
EUSF000019	S3T1
EUSF000020	S1T4
EUSF000021	S3T1
EUSF000022	S3T2
EUSF000023	S3T4
EUSF000024	S3T4
EUSF000025	S3T1
EUSF000026	S3T1
EUSF000027	S3T2
EUSF000028	S1T1
EUSF000029	S1T4
EUSF000030	S2T3
EUSF000031	S3T1
EUSF000032	S3T3
EUSF000033	S3T3
EUSF000034	S3T2
EUSF000035	S3T2
EUSF000036	S3T2
EUSF000037	S3T2
EUSF000038	S3T3
EUSF000039	S1T1
EUSF000040	S1T3
EUSF000041	Test_Sample
EUSF000042	S3T2
EUSF000043	S1T2
EUSF000044	S1T1
EUSF000045	S3T2
EUSF000046	S3T2
EUSF000047	S1T1
EUSF000048	S2T4
EUSF000049	Test_Sample
EUSF000050	S1T3
EUSF000051	S3T2
EUSF000052	S3T2
EUSF000053	S1T3
EUSF000054	S1T2
EUSF000055	S1T3
EUSF000056	S3T3
EUSF000057	S3T4
EUSF000058	S2T4
EUSF000059	S1T3
EUSF000060	S1T3
EUSF000061	S3T2
EUSF000062	S3T3
EUSF000063	S1T3
EUSF000064	S1T1
EUSF000065	S1T2
EUSF000066	S1T2
EUSF000067	S1T2
EUSF000068	S2T1
EUSF000069	S2T1
EUSF000070	S1T2
EUSF000071	S1T2
EUSF000072	S1T2
EUSF000073	S1T2
EUSF000074	S1T2
EUSF000075	S3T2
EUSF000076	S1T2
EUSF000077	S1T2
EUSF000078	S2T1
EUSF000079	S1T2
EUSF000080	S2T1
EUSF000081	S1T3
EUSF000082	S1T2
EUSF000083	Test_Sample
EUSF000084	S1T2
EUSF000085	S3T3
EUSF000086	S1T2
EUSF000087	S1T2
EUSF000088	S1T1
EUSF000089	S1T2
EUSF000090	S1T1
EUSF000091	S1T2
EUSF000092	S2T2
EUSF000093	S1T2
EUSF000094	S1T2
EUSF000095	S1T2
EUSF000096	S1T1
EUSF000097	S1T1
EUSF000098	S1T1
EUSF000099	S1T2
EUSF000100	Test_Sample
EUSF000101	S1T2
EUSF000102	S1T4
EUSF000103	S1T2
EUSF000104	S1T4
EUSF000105	S1T4
EUSF000106	S1T2
EUSF000107	S1T2
EUSF000108	S2T3
EUSF000109	S2T2
EUSF000110	S1T2
EUSF000111	S1T4
EUSF000112	S1T2
EUSF000113	S1T2
EUSF000114	S2T4
EUSF000115	S2T2
EUSF000116	S1T2
EUSF000117	S1T1
EUSF000118	S2T1
EUSF000119	Test_Sample
EUSF000120	S2T3
EUSF000121	S1T1
EUSF000122	S1T2
EUSF000123	S1T2
EUSF000124	S2T1
EUSF000125	S1T1
EUSF000126	S1T2
EUSF000127	S1T2
EUSF000128	S1T2
EUSF000129	S1T2
EUSF000130	S1T1
EUSF000131	S1T1
EUSF000132	S1T1
EUSF000133	S1T2
EUSF000134	S3T4
EUSF000135	S1T2
EUSF000136	S1T2
EUSF000137	S2T1
EUSF000138	S2T4
EUSF000139	Test_Sample
EUSF000140	S1T2
EUSF000141	Test_Sample
EUSF000142	S3T4
EUSF000143	S1T2
EUSF000144	S3T1
EUSF000145	S3T4
EUSF000146	S3T4
EUSF000147	S1T3
EUSF000148	S3T4
EUSF000149	S3T1
EUSF000150	S3T4
EUSF000151	S1T2
EUSF000152	S2T1
EUSF000153	S1T4
EUSF000154	S3T3
EUSF000155	S3T1
EUSF000156	S3T4
EUSF000157	S3T2
EUSF000158	S1T3
EUSF000159	S3T3
EUSF000160	S3T1
EUSF000161	S1T2
EUSF000162	S1T2
EUSF000163	S3T4
EUSF000164	S3T3
